;Kraj;Sprzedawca;Data zamowienia;idZamowienia;Utarg;Year
132;Niemcy;Callahan;2004-01-16;10380;1313.82;2004
144;Niemcy;Fuller;2004-01-01;10392;1440.0;2004
145;Niemcy;Davolio;2004-01-03;10393;2556.95;2004
146;Niemcy;Davolio;2004-01-03;10394;442.0;2004
147;Polska;Sowiński;2004-01-03;10395;2122.92;2004
148;Niemcy;Davolio;2004-01-06;10396;1903.8;2004
149;Polska;Kowalski;2004-01-02;10397;716.72;2004
150;Niemcy;Fuller;2004-01-09;10398;2505.6;2004
151;Niemcy;Callahan;2004-01-08;10399;1765.6;2004
152;Niemcy;Davolio;2004-01-16;10400;3063.0;2004
153;Niemcy;Davolio;2004-01-10;10401;3868.6;2004
154;Niemcy;Callahan;2004-01-10;10402;2713.5;2004
155;Niemcy;Peacock;2004-01-09;10403;855.01;2004
156;Niemcy;Fuller;2004-01-08;10404;1591.25;2004
157;Niemcy;Davolio;2004-01-22;10405;400.0;2004
158;Polska;King;2004-01-13;10406;1830.78;2004
159;Niemcy;Fuller;2004-01-30;10407;1194.0;2004
160;Niemcy;Callahan;2004-01-14;10408;1622.4;2004
161;Niemcy;Leverling;2004-01-14;10409;319.2;2004
162;Niemcy;Leverling;2004-01-15;10410;802.0;2004
163;Polska;Dudek;2004-01-21;10411;966.8;2004
164;Niemcy;Callahan;2004-01-15;10412;334.8;2004
165;Niemcy;Leverling;2004-01-16;10413;2123.2;2004
166;Niemcy;Fuller;2004-01-17;10414;224.83;2004
167;Niemcy;Leverling;2004-01-24;10415;102.4;2004
168;Niemcy;Callahan;2004-01-27;10416;720.0;2004
169;Niemcy;Peacock;2004-01-28;10417;11188.4;2004
170;Niemcy;Peacock;2004-01-24;10418;1814.8;2004
171;Niemcy;Peacock;2004-01-30;10419;2097.6;2004
172;Niemcy;Leverling;2004-01-27;10420;1707.84;2004
173;Niemcy;Callahan;2004-01-27;10421;1194.27;2004
174;Niemcy;Fuller;2004-01-31;10422;49.8;2004
175;Polska;Sowiński;2004-02-24;10423;1020.0;2004
176;Polska;King;2004-01-27;10424;9194.56;2004
177;Polska;Sowiński;2004-02-14;10425;360.0;2004
178;Niemcy;Peacock;2004-02-06;10426;338.2;2004
179;Niemcy;Peacock;2004-03-03;10427;651.0;2004
180;Polska;King;2004-02-04;10428;192.0;2004
181;Niemcy;Leverling;2004-02-07;10429;1441.37;2004
182;Niemcy;Peacock;2004-02-03;10430;4899.2;2004
183;Niemcy;Peacock;2004-02-07;10431;1892.25;2004
184;Niemcy;Leverling;2004-02-07;10432;485.0;2004
185;Niemcy;Leverling;2004-03-04;10433;851.2;2004
186;Niemcy;Leverling;2004-02-13;10434;321.12;2004
187;Niemcy;Callahan;2004-02-07;10435;631.6;2004
188;Niemcy;Leverling;2004-02-11;10436;1994.52;2004
189;Niemcy;Callahan;2004-02-12;10437;393.0;2004
190;Niemcy;Leverling;2004-02-14;10438;454.0;2004
191;Polska;Sowiński;2004-02-10;10439;1078.0;2004
192;Niemcy;Peacock;2004-02-28;10440;4924.13;2004
193;Niemcy;Leverling;2004-03-14;10441;1755.0;2004
